frequency_mhz,level_dbm,buffer_voltage_mv,resistance,pwr_pw,efficiency
875.0,-19.5,1009.0,1000000.0,1018000,9.073
875.0,-19.0,1124.0,1000000.0,1263000,10.032
875.0,-18.5,1248.0,1000000.0,1557000,11.023
875.0,-18.0,1372.0,1000000.0,1882000,11.875
875.0,-17.5,1498.0,1000000.0,2244000,12.619
875.0,-17.0,1623.0,1000000.0,2614000,13.101
875.0,-16.5,1641.0,757812.0,3553000,15.871
875.0,-16.0,1635.0,570312.0,4687000,18.659
875.0,-15.5,1634.0,445312.0,5966000,21.168
875.0,-15.0,1627.0,359375.0,7393000,23.379
875.0,-14.5,1627.0,300781.0,8800000,24.802
875.0,-14.0,1619.0,246093.0,10651000,26.754
875.0,-13.5,1606.0,207031.0,12520000,28.029
875.0,-13.0,1631.0,183593.0,14489000,28.909
875.0,-12.5,1632.0,160156.0,16630000,29.573
875.0,-12.0,1593.0,136718.0,18607000,29.49
875.0,-11.5,1591.0,121093.0,21833000,30.84
875.0,-11.0,1600.0,109375.0,23405000,29.465
875.0,-10.5,1639.0,97656.0,27507000,30.863
875.0,-10.0,1604.0,86173.0,29856000,29.856
875.0,-9.5,1606.0,79355.0,33975000,30.28
875.0,-9.0,1643.0,71483.0,37763000,29.996
875.0,-8.5,1641.0,65087.0,39726000,28.124
875.0,-8.0,1626.0,58930.0,43767000,27.615
875.0,-7.5,1610.0,54011.0,47992000,26.988
875.0,-7.0,1629.0,49373.0,53746000,26.937
875.0,-6.5,1615.0,45362.0,57498000,25.683
875.0,-6.0,1632.0,41655.0,63940000,25.455
875.0,-5.5,1629.0,38259.0,69359000,24.61
875.0,-5.0,1616.0,35183.0,74224000,23.472
875.0,-4.5,1626.0,32432.0,81520000,22.975
875.0,-4.0,1628.0,30013.0,86473000,21.721
875.0,-3.5,1633.0,27929.0,95481000,21.376
875.0,-3.0,1616.0,25486.0,102466000,20.445
875.0,-2.5,1619.0,23734.0,110439000,19.639
875.0,-2.0,1620.0,22328.0,117538000,18.629
875.0,-1.5,1606.0,20564.0,127621000,18.027
875.0,-1.0,1617.0,19149.0,136544000,17.19
875.0,-0.5,1641.0,18083.0,144951000,16.264
875.0,0.0,1599.0,16661.0,156159000,15.616
887.0,-20.0,876.0,1000000.0,760000,7.6
887.0,-19.5,1002.0,1000000.0,1004000,8.948
887.0,-19.0,1119.0,1000000.0,1258000,9.993
887.0,-18.5,1249.0,1000000.0,1560000,11.044
887.0,-18.0,1367.0,1000000.0,1868000,11.786
887.0,-17.5,1488.0,1000000.0,2202000,12.383
887.0,-17.0,1601.0,1000000.0,2563000,12.845
887.0,-16.5,1645.0,800781.0,3379000,15.093
887.0,-16.0,1643.0,597656.0,4516000,17.979
887.0,-15.5,1638.0,464843.0,5771000,20.476
