harvester,target_voltage_mv,level_dbm,efficiency
sSUHFIPTIVA0,750.0,-22.0,6.01
sSUHFIPTIVA0,750.0,-21.5,4.92
sSUHFIPTIVA0,750.0,-21.0,6.36
sSUHFIPTIVA0,750.0,-20.5,7.93
sSUHFIPTIVA0,750.0,-20.0,10.16
sSUHFIPTIVA0,750.0,-19.5,12.23
sSUHFIPTIVA0,750.0,-19.0,14.12
sSUHFIPTIVA0,750.0,-18.5,15.78
sSUHFIPTIVA0,750.0,-18.0,17.33
sSUHFIPTIVA0,750.0,-17.5,18.76
sSUHFIPTIVA0,750.0,-17.0,19.75
sSUHFIPTIVA0,750.0,-16.5,20.48
sSUHFIPTIVA0,750.0,-16.0,21.31
sSUHFIPTIVA0,750.0,-15.5,22.09
sSUHFIPTIVA0,750.0,-15.0,23.53
sSUHFIPTIVA0,750.0,-14.5,23.83
sSUHFIPTIVA0,750.0,-14.0,23.92
sSUHFIPTIVA0,750.0,-13.5,23.79
sSUHFIPTIVA0,750.0,-13.0,23.56
sSUHFIPTIVA0,750.0,-12.5,23.38
sSUHFIPTIVA0,750.0,-12.0,23.1
sSUHFIPTIVA0,750.0,-11.5,22.59
sSUHFIPTIVA0,750.0,-11.0,22.22
sSUHFIPTIVA0,750.0,-10.5,21.67
sSUHFIPTIVA0,750.0,-10.0,21.1
sSUHFIPTIVA0,750.0,-9.5,20.47
sSUHFIPTIVA0,750.0,-9.0,19.91
sSUHFIPTIVA0,750.0,-8.5,19.21
sSUHFIPTIVA0,750.0,-8.0,18.74
sSUHFIPTIVA0,750.0,-7.5,17.97
sSUHFIPTIVA0,750.0,-7.0,17.29
sSUHFIPTIVA0,750.0,-6.5,16.54
sSUHFIPTIVA0,750.0,-6.0,15.66
sSUHFIPTIVA0,750.0,-5.5,15.03
sSUHFIPTIVA0,750.0,-5.0,14.6
sSUHFIPTIVA0,750.0,-4.5,13.86
sSUHFIPTIVA0,750.0,-4.0,13.26
sSUHFIPTIVA0,750.0,-3.5,12.69
sSUHFIPTIVA0,750.0,-3.0,12.07
sSUHFIPTIVA0,750.0,-2.5,11.4
sSUHFIPTIVA0,750.0,-2.0,10.71
sSUHFIPTIVA0,750.0,-1.5,10.34
sSUHFIPTIVA0,750.0,-1.0,9.58
sSUHFIPTIVA0,750.0,-0.5,9.2
sSUHFIPTIVA0,750.0,0.0,8.4
SMS7630005LF,1000.0,-25.0,1.27
SMS7630005LF,1000.0,-24.5,1.35
SMS7630005LF,1000.0,-24.0,1.43
SMS7630005LF,1000.0,-23.5,1.52
SMS7630005LF,1000.0,-23.0,1.6
SMS7630005LF,1000.0,-22.5,1.72
SMS7630005LF,1000.0,-22.0,1.77
SMS7630005LF,1000.0,-21.5,1.84
SMS7630005LF,1000.0,-21.0,1.92
SMS7630005LF,1000.0,-20.5,2.02
SMS7630005LF,1000.0,-20.0,2.07
SMS7630005LF,1000.0,-19.5,2.13
SMS7630005LF,1000.0,-19.0,2.22
SMS7630005LF,1000.0,-18.5,2.25
SMS7630005LF,1000.0,-18.0,2.3
SMS7630005LF,1000.0,-17.5,2.36
SMS7630005LF,1000.0,-17.0,2.4
SMS7630005LF,1000.0,-16.5,2.44
SMS7630005LF,1000.0,-16.0,2.48
SMS7630005LF,1000.0,-15.5,2.49
SMS7630005LF,1000.0,-15.0,2.52
SMS7630005LF,1000.0,-14.5,2.55
SMS7630005LF,1000.0,-14.0,2.57
SMS7630005LF,1000.0,-13.5,3.16
SMS7630005LF,1000.0,-13.0,11.48
SMS7630005LF,1000.0,-12.5,21.1
SMS7630005LF,1000.0,-12.0,24.64
SMS7630005LF,1000.0,-11.5,29.57
SMS7630005LF,1000.0,-11.0,34.12
SMS7630005LF,1000.0,-10.5,37.84
SMS7630005LF,1000.0,-10.0,40.98
SMS7630005LF,1000.0,-9.5,43.26
SMS7630005LF,1000.0,-9.0,45.03
SMS7630005LF,1000.0,-8.5,46.44
SMS7630005LF,1000.0,-8.0,47.2
SMS7630005LF,1000.0,-7.5,47.56
SMS7630005LF,1000.0,-7.0,47.6
SMS7630005LF,1000.0,-6.5,47.4
SMS7630005LF,1000.0,-6.0,47.16
